popn	len	wt
3	813	6583
3	787	7400
3	762	5357
3	737	5221
3	737	5130
3	711	4268
3	711	4358
3	711	4722
3	711	3859
3	711	3859
3	686	3950
3	686	4086
3	686	4222
3	660	3859
3	584	1317
3	483	1226
3	483	999
3	483	1135
3	457	1044
3	457	1090
3	457	999
3	432	908
3	406	681
3	381	726
3	381	636
4	155	20
4	161	40
4	161	50
4	164	37
4	172	40
4	174	60
4	176	34
4	176	54
4	179	60
4	181	40
4	182	40
4	182	60
4	184	51
4	184	84
4	185	80
4	189	40
4	190	60
4	193	80
4	193	80
4	196	50
4	197	80
4	200	60
4	200	100
4	205	80
4	205	100
4	206	105
4	207	100
4	208	90
4	209	80
4	209	100
4	209	105
4	210	80
4	210	84
4	210	100
4	210	100
4	210	142
4	212	100
4	212	100
4	214	120
4	214	170
4	215	100
4	217	100
4	217	107
4	218	100
4	218	100
4	218	103
4	220	106
4	220	130
4	221	100
4	221	111
4	221	190
4	222	100
4	222	121
4	223	100
4	223	100
4	223	120
4	223	120
4	224	80
4	224	113
4	225	100
4	225	100
4	225	108
4	225	117
4	225	129
4	226	100
4	226	119
4	227	150
4	228	100
4	228	120
4	228	120
4	228	135
4	228	170
4	230	100
4	230	120
4	230	160
4	231	100
4	231	100
4	231	130
4	232	120
4	232	140
4	233	120
4	233	120
4	233	149
4	233	198
4	234	120
4	234	137
4	235	140
4	235	146
4	235	150
4	235	180
4	235	225
4	236	140
4	237	120
4	237	120
4	238	120
4	238	138
4	238	140
4	238	200
4	240	130
4	240	140
4	240	140
4	240	140
4	241	140
4	241	146
4	241	150
4	241	160
4	242	154
4	243	140
4	244	160
4	245	140
4	245	160
4	245	162
4	245	169
4	245	180
4	246	227
4	247	150
4	247	160
4	248	165
4	249	80
4	249	157
4	249	160
4	249	180
4	249	220
4	250	132
4	250	165
4	250	194
4	251	140
4	252	150
4	252	150
4	252	156
4	252	168
4	252	180
4	252	220
4	253	160
4	253	160
4	254	175
4	254	180
4	255	160
4	255	220
4	256	167
4	256	175
4	256	190
4	257	180
4	258	160
4	260	190
4	260	205
4	260	229
4	260	240
4	261	180
4	261	180
4	261	193
4	262	120
4	262	180
4	262	180
4	262	191
4	263	160
4	264	200
4	264	210
4	265	180
4	265	203
4	265	220
4	266	180
4	266	195
4	266	198
4	267	160
4	267	180
4	267	188
4	267	195
4	268	204
4	268	220
4	268	240
4	270	180
4	270	209
4	270	210
4	270	220
4	270	231
4	270	285
4	271	180
4	271	190
4	271	240
4	272	200
4	272	220
4	273	238
4	276	221
4	276	240
4	277	200
4	278	227
4	278	239
4	278	270
4	279	200
4	279	209
4	279	220
4	280	235
4	280	240
4	281	250
4	282	260
4	284	250
4	284	280
4	285	240
4	285	240
4	285	241
4	286	230
4	286	234
4	287	220
4	287	240
4	288	240
4	289	260
4	289	265
4	289	269
4	290	262
4	291	230
4	293	260
4	294	230
4	294	260
4	294	298
4	297	260
4	298	265
4	298	270
4	298	307
4	298	310
4	299	294
4	299	317
4	300	300
4	300	302
4	300	324
4	300	360
4	301	280
4	302	400
4	303	340
4	304	330
4	305	320
4	306	320
4	306	340
4	307	280
4	307	300
4	307	300
4	310	335
4	311	330
4	312	300
4	313	300
4	313	309
4	318	410
4	325	317
4	325	340
4	326	340
4	327	392
4	329	400
4	329	425
4	330	400
4	331	320
4	336	410
4	337	400
4	337	425
4	338	400
4	339	400
4	340	450
4	342	510
4	344	870
4	346	424
4	346	460
4	348	480
4	348	524
4	349	505
4	350	420
4	350	580
4	354	542
4	354	543
4	354	580
4	355	500
4	355	570
4	355	575
4	356	450
4	358	810
4	359	460
4	359	500
4	359	560
4	360	410
4	360	440
4	360	450
4	360	580
4	360	580
4	361	520
4	361	531
4	361	540
4	361	550
4	361	620
4	362	508
4	362	520
4	362	600
4	363	331
4	363	540
4	363	573
4	365	525
4	365	542
4	365	600
4	365	770
4	365	820
4	366	540
4	366	590
4	368	560
4	368	600
4	368	652
4	370	591
4	370	600
4	370	640
4	371	600
4	371	646
4	372	695
4	373	480
4	374	520
4	375	665
4	375	720
4	376	600
4	376	640
4	376	688
4	377	586
4	378	640
4	378	680
4	379	620
4	379	633
4	379	660
4	379	720
4	379	770
4	379	860
4	380	638
4	380	710
4	381	630
4	381	680
4	381	700
4	381	720
4	382	520
4	383	687
4	384	640
4	384	680
4	384	700
4	385	520
4	385	660
4	385	660
4	385	750
4	386	645
4	386	662
4	386	680
4	387	680
4	387	699
4	387	720
4	387	730
4	387	750
4	388	560
4	388	680
4	388	740
4	389	620
4	389	765
4	389	770
4	389	781
4	390	610
4	390	690
4	390	740
4	390	800
4	390	800
4	391	480
4	391	680
4	391	700
4	391	720
4	392	660
4	392	700
4	392	740
4	392	740
4	392	780
4	392	940
4	393	800
4	394	650
4	394	720
4	394	720
4	394	740
4	394	770
4	395	710
4	395	712
4	395	720
4	395	720
4	395	720
4	395	760
4	395	960
4	396	750
4	396	800
4	398	820
4	399	710
4	400	737
4	400	750
4	400	790
4	400	800
4	401	700
4	401	840
4	401	850
4	402	740
4	402	772
4	403	690
4	403	750
4	403	800
4	403	850
4	404	812
4	405	800
4	405	840
4	406	760
4	406	880
4	406	940
4	408	780
4	408	810
4	408	820
4	408	860
4	410	710
4	410	760
4	410	807
4	410	860
4	410	890
4	410	890
4	411	920
4	412	752
4	412	815
4	412	840
4	412	980
4	413	750
4	413	765
4	413	940
4	413	950
4	414	860
4	414	920
4	415	900
4	415	900
4	416	860
4	417	840
4	418	873
4	419	880
4	420	900
4	420	995
4	422	800
4	422	870
4	422	920
4	423	860
4	423	940
4	423	1010
4	425	960
4	425	1900
4	426	860
4	427	940
4	428	700
4	428	940
4	428	1040
4	430	860
4	430	915
4	432	870
4	432	920
4	432	1030
4	432	1050
4	433	930
4	434	950
4	434	1000
4	435	880
4	435	941
4	435	1000
4	436	960
4	436	980
4	437	1000
4	438	1080
4	439	820
4	439	980
4	440	950
4	440	1040
4	441	850
4	441	920
4	441	980
4	442	979
4	443	880
4	443	980
4	443	1020
4	444	1020
4	445	1000
4	445	1040
4	445	1080
4	445	1450
4	446	1134
4	446	1160
4	446	1220
4	447	940
4	447	980
4	449	869
4	450	900
4	450	1200
4	451	1140
4	452	1165
4	452	1361
4	453	1220
4	453	1220
4	454	940
4	454	1060
4	454	1080
4	455	1000
4	455	1020
4	455	1040
4	455	1120
4	456	880
4	456	1120
4	456	1160
4	457	1180
4	458	1011
4	458	1060
4	458	1130
4	460	1040
4	460	1080
4	460	1180
4	460	1180
4	460	1250
4	460	1500
4	461	1150
4	462	1100
4	462	1160
4	464	1040
4	464	1220
4	465	1080
4	466	1160
4	466	1180
4	466	1300
4	467	1080
4	467	1100
4	467	1130
4	468	1100
4	468	1120
4	468	1120
4	468	1190
4	468	1200
4	468	1200
4	468	1280
4	469	1320
4	470	1100
4	470	1180
4	470	1300
4	470	1445
4	470	1480
4	470	1540
4	471	1160
4	471	1290
4	471	1347
4	472	1200
4	473	1320
4	474	1092
4	474	1100
4	474	1160
4	474	1280
4	475	1060
4	475	1120
4	475	1200
4	475	1285
4	475	1300
4	475	1360
4	475	1590
4	476	1271
4	476	1330
4	476	1400
4	477	1160
4	477	1250
4	477	1260
4	480	1300
4	480	1310
4	480	1340
4	480	1340
4	480	1350
4	481	1140
4	481	1310
4	482	1140
4	482	1200
4	482	1275
4	482	1280
4	482	1560
4	483	1162
4	483	1248
4	483	1340
4	483	1340
4	483	1500
4	483	1600
4	484	1442
4	484	1446
4	485	1180
4	485	1400
4	485	1480
4	485	1500
4	485	1510
4	486	1132
4	486	1350
4	486	1460
4	486	1500
4	487	1200
4	487	1220
4	487	1300
4	487	1300
4	487	1330
4	487	1360
4	487	1440
4	488	1120
4	488	1240
4	488	1280
4	488	1340
4	488	1370
4	488	1380
4	488	1500
4	489	1200
4	489	1218
4	489	1300
4	489	1318
4	489	1320
4	489	1400
4	489	1480
4	489	1500
4	490	1120
4	490	1220
4	490	1240
4	490	1252
4	490	1260
4	490	1340
4	490	1360
4	490	1380
4	490	1440
4	490	1505
4	491	1620
4	492	1260
4	492	1371
4	493	1420
4	493	1440
4	493	1570
4	494	1750
4	495	1220
4	495	1240
4	495	1319
4	495	1355
4	495	1370
4	495	1560
4	496	1300
4	496	1330
4	496	1540
4	496	1550
4	496	1640
4	497	1440
4	497	1462
4	497	1500
4	497	1520
4	498	1360
4	498	1360
4	498	1500
4	498	1560
4	498	1680
4	498	1680
4	498	1710
4	498	1720
4	498	2000
4	499	1390
4	499	1408
4	499	1550
4	499	1882
4	500	1240
4	500	1600
4	500	1740
4	501	1471
4	501	1641
4	501	1641
4	502	1475
4	502	1531
4	502	1555
4	503	1420
4	503	1748
4	504	1280
4	504	1450
4	504	1530
4	504	1600
4	505	1280
4	505	1430
4	505	1570
4	505	1600
4	505	1690
4	506	1430
4	506	1548
4	506	1718
4	506	1837
4	507	1380
4	507	1616
4	507	1620
4	507	1660
4	507	1800
4	508	1560
4	508	1650
4	508	1660
4	508	1660
4	508	1727
4	508	1734
4	509	1280
4	509	1700
4	510	1380
4	510	1440
4	510	1469
4	510	1560
4	510	1560
4	510	1640
4	510	1740
4	510	1760
4	510	1780
4	510	1800
4	511	1406
4	511	1520
4	511	1540
4	511	1662
4	511	1860
4	512	1360
4	512	1500
4	512	1660
4	512	1691
4	512	1820
4	513	1500
4	513	1500
4	514	1350
4	514	1547
4	514	1619
4	514	1700
4	514	1730
4	515	1400
4	515	1470
4	515	1478
4	515	1540
4	515	1580
4	515	1600
4	515	1600
4	515	1665
4	515	1800
4	515	1827
4	516	1680
4	517	1360
4	517	1480
4	517	1630
4	517	1660
4	518	1460
4	518	1600
4	518	2850
4	519	1320
4	519	1687
4	519	1730
4	519	1780
4	519	1927
4	521	1540
4	521	1569
4	521	1593
4	521	1670
4	522	1320
4	522	1457
4	522	1570
4	522	1740
4	522	1840
4	523	1680
4	523	1740
4	523	1820
4	524	1650
4	524	1740
4	525	1460
4	525	1620
4	525	1620
4	525	1670
4	525	1680
4	525	1760
4	525	1840
4	525	2025
4	526	1645
4	526	2520
4	527	1520
4	527	1581
4	527	1600
4	527	1600
4	527	1652
4	527	1693
4	527	1700
4	527	1780
4	527	1786
4	528	1630
4	528	1650
4	528	1700
4	528	1710
4	528	1860
4	529	1470
4	529	1550
4	529	1681
4	529	1690
4	529	1820
4	529	1880
4	529	2920
4	530	1520
4	530	1560
4	530	1620
4	530	1640
4	530	1700
4	530	1784
4	530	2250
4	531	1441
4	531	1650
4	531	1700
4	531	1740
4	531	1780
4	531	1800
4	532	1600
4	532	1610
4	532	1616
4	532	1950
4	532	2090
4	533	1580
4	533	1700
4	533	1820
4	533	1830
4	533	1940
4	533	1950
4	533	2040
4	534	1080
4	534	1740
4	534	1800
4	534	1820
4	534	1820
4	534	1835
4	534	1980
4	534	2125
4	535	1709
4	535	1710
4	535	1730
4	535	1740
4	535	1775
4	535	1800
4	535	1800
4	535	1830
4	535	2060
4	535	2080
4	536	1622
4	536	1700
4	536	1880
4	536	1884
4	536	2000
4	536	2067
4	537	1480
4	537	1750
4	537	1750
4	537	1812
4	537	1867
4	537	2100
4	538	1700
4	538	1700
4	538	1760
4	538	1860
4	538	1890
4	539	1780
4	539	1780
4	539	1831
4	539	2500
4	539	2860
4	540	1750
4	540	1840
4	540	1850
4	540	1850
4	540	2147
4	540	2200
4	541	1790
4	541	1884
4	541	1950
4	541	2120
4	542	1700
4	542	1740
4	542	1786
4	542	1900
4	542	1900
4	542	2050
4	543	1620
4	543	1689
4	543	1749
4	543	1780
4	543	1800
4	543	1825
4	543	1950
4	543	1960
4	543	2000
4	543	2150
4	543	2200
4	544	1800
4	544	1900
4	544	2250
4	545	1840
4	545	1999
4	545	2000
4	545	2080
4	545	2220
4	546	1630
4	546	1840
4	546	2000
4	546	2020
4	546	2054
4	546	2230
4	546	2324
4	547	1530
4	547	1640
4	547	1835
4	547	1858
4	547	1934
4	547	2000
4	547	2180
4	548	1804
4	548	1900
4	548	1926
4	548	1950
4	548	2040
4	548	2200
4	549	1700
4	549	1780
4	549	1820
4	549	1830
4	549	2100
4	549	2150
4	549	2500
4	550	1820
4	550	1910
4	550	1988
4	550	2000
4	550	2000
4	550	2000
4	550	2543
4	551	1880
4	551	2110
4	552	1587
4	552	2000
4	552	2090
4	553	1700
4	553	1850
4	553	2000
4	553	2000
4	553	2020
4	553	2040
4	553	2260
4	554	1800
4	554	1820
4	554	1990
4	554	2020
4	554	2100
4	554	2100
4	554	2140
4	554	2283
4	554	2290
4	554	2700
4	555	1700
4	555	1754
4	555	1850
4	555	1877
4	555	1880
4	555	1900
4	555	1900
4	555	1940
4	555	1960
4	555	1980
4	555	1984
4	555	2009
4	555	2040
4	555	2120
4	555	2140
4	555	2150
4	555	2340
4	555	2380
4	556	720
4	556	1640
4	556	1860
4	556	1934
4	556	2000
4	556	2072
4	556	2080
4	556	2200
4	556	2270
4	557	1705
4	557	1780
4	557	1953
4	557	2050
4	557	2100
4	557	2140
4	557	2240
4	557	2300
4	557	2400
4	557	2475
4	558	1760
4	558	1910
4	558	1910
4	558	1967
4	558	2100
4	558	2140
4	558	2200
4	559	1923
4	559	1942
4	559	2000
4	559	2100
4	559	2200
4	559	2300
4	559	2760
4	560	1220
4	560	1800
4	560	1864
4	560	1920
4	560	1940
4	560	1940
4	560	2000
4	560	2011
4	560	2040
4	560	2050
4	560	2250
4	560	2300
4	560	2380
4	560	2400
4	560	2403
4	560	2440
4	560	2450
4	561	2020
4	561	2040
4	561	2140
4	561	2160
4	561	2200
4	561	2250
4	561	2250
4	562	1750
4	562	1769
4	562	1810
4	562	1970
4	562	1980
4	562	2020
4	562	2160
4	562	2220
4	562	2220
4	562	2250
4	562	2300
4	562	2910
4	563	1940
4	563	1995
4	563	2070
4	563	2080
4	563	2140
4	563	2160
4	563	2380
4	563	2490
4	563	2560
4	564	1790
4	564	1800
4	564	2010
4	564	2020
4	564	2108
4	564	2280
4	564	2475
4	564	2560
4	565	1750
4	565	1820
4	565	1890
4	565	1901
4	565	2000
4	565	2060
4	565	2074
4	565	2120
4	565	2160
4	565	2180
4	565	2200
4	565	2220
4	565	2260
4	565	2300
4	565	2350
4	565	2750
4	565	2760
4	566	1800
4	566	1920
4	566	2020
4	566	2100
4	566	2200
4	566	2240
4	566	2380
4	566	2575
4	567	2000
4	567	2012
4	567	2280
4	567	2360
4	567	2600
4	568	1860
4	568	2000
4	568	2044
4	568	2046
4	568	2100
4	568	2120
4	568	2130
4	568	2140
4	568	2170
4	568	2300
4	568	2350
4	568	2420
4	568	2450
4	569	1988
4	569	2060
4	569	2120
4	569	2380
4	569	2700
4	570	1880
4	570	1900
4	570	2000
4	570	2004
4	570	2013
4	570	2020
4	570	2060
4	570	2100
4	570	2220
4	570	2320
4	570	2375
4	570	2560
4	570	2750
4	570	3000
4	571	1990
4	571	2100
4	571	2100
4	571	2200
4	571	2372
4	572	1860
4	572	1940
4	572	2000
4	572	2150
4	572	2250
4	572	2270
4	572	2350
4	572	2360
4	572	2430
4	572	2535
4	572	2611
4	572	2800
4	572	2800
4	573	2000
4	573	2015
4	573	2100
4	573	2110
4	573	2160
4	573	2162
4	573	2180
4	573	2240
4	573	2280
4	573	2392
4	573	2600
4	573	2750
4	573	2800
4	574	2080
4	574	2120
4	574	2200
4	574	2270
4	575	1520
4	575	1950
4	575	1960
4	575	2000
4	575	2100
4	575	2160
4	575	2200
4	575	2250
4	575	2250
4	575	2340
4	575	2360
4	575	2400
4	575	2400
4	575	2420
4	575	2540
4	575	3250
4	576	2080
4	576	2290
4	576	2400
4	576	2428
4	577	1947
4	577	2000
4	577	2120
4	577	3250
4	578	1920
4	578	2000
4	578	2000
4	578	2000
4	578	2160
4	578	2200
4	578	2200
4	578	2260
4	578	2280
4	578	2400
4	578	2450
4	578	2500
4	578	2750
4	578	3000
4	579	2040
4	579	2120
4	579	2180
4	579	2200
4	579	2320
4	579	2320
4	579	2420
4	579	2700
4	580	1880
4	580	2000
4	580	2040
4	580	2200
4	580	2290
4	580	2300
4	580	2370
4	580	2400
4	580	2400
4	580	2500
4	580	2600
4	581	1960
4	581	1980
4	581	2040
4	581	2100
4	581	2140
4	581	2180
4	581	2240
4	581	2280
4	581	2360
4	582	2040
4	582	2060
4	582	2080
4	582	2100
4	582	2120
4	582	2200
4	582	2300
4	582	2300
4	582	2340
4	582	2340
4	582	2355
4	582	2380
4	582	2410
4	582	2600
4	582	3035
4	583	1080
4	583	1956
4	583	2100
4	583	2180
4	583	2200
4	583	2240
4	583	2370
4	583	2500
4	583	2620
4	584	2000
4	584	2040
4	584	2250
4	584	2280
4	584	2320
4	584	2350
4	584	2500
4	585	2050
4	585	2100
4	585	2203
4	585	2220
4	585	2310
4	585	2340
4	585	2420
4	585	2460
4	585	2640
4	585	2650
4	585	2660
4	585	2949
4	586	2240
4	586	2250
4	586	2280
4	586	2380
4	586	2400
4	586	2450
4	586	2480
4	586	2670
4	586	2800
4	587	1950
4	587	2240
4	587	2280
4	587	2290
4	587	2300
4	587	2500
4	587	2540
4	587	2580
4	587	2620
4	587	2850
4	588	2000
4	588	2150
4	588	2230
4	588	2300
4	588	2300
4	588	2400
4	588	2500
4	588	2520
4	588	2550
4	588	2620
4	588	2760
4	588	3000
4	589	2000
4	589	2400
4	589	2550
4	589	2559
4	590	2000
4	590	2180
4	590	2200
4	590	2220
4	590	2250
4	590	2420
4	590	2440
4	590	2480
4	590	2550
4	590	2550
4	590	2600
4	590	2630
4	590	2680
4	590	3000
4	590	3100
4	591	2440
4	591	2450
4	591	2500
4	591	2540
4	591	2600
4	591	2760
4	591	2900
4	591	2900
4	591	3000
4	592	2240
4	592	2240
4	592	2630
4	592	2680
4	592	2750
4	592	2800
4	592	2820
4	592	3050
4	592	3250
4	593	2240
4	593	2280
4	593	2500
4	593	2500
4	593	2722
4	593	2750
4	593	2950
4	593	2960
4	593	3250
4	594	2180
4	594	2380
4	594	2550
4	594	2575
4	594	2610
4	594	2800
4	594	2800
4	594	3000
4	595	2150
4	595	2270
4	595	2320
4	595	2400
4	595	2450
4	595	2460
4	595	2500
4	595	2680
4	595	2750
4	595	2750
4	595	3100
4	595	3280
4	595	4050
4	596	2100
4	596	2520
4	596	2620
4	596	2680
4	596	2850
4	596	2920
4	597	2200
4	597	2460
4	597	2720
4	597	2750
4	597	3150
4	598	2100
4	598	2300
4	598	2350
4	598	2440
4	598	2460
4	598	2580
4	598	2600
4	598	2700
4	598	2750
4	598	3000
4	598	3010
4	599	2310
4	599	2460
4	599	2750
4	599	3100
4	599	3400
4	600	1940
4	600	2003
4	600	2200
4	600	2200
4	600	2250
4	600	2260
4	600	2280
4	600	2300
4	600	2300
4	600	2380
4	600	2380
4	600	2540
4	600	2550
4	600	2580
