number	species	sl	tl	weight	vol.ttl	vol.mysis	vol.oi	vol.fish	num.dipter	num.pisidium
116	BLT	488	550	1288	67.800	0.678	0.000	67.122	NA	NA
110	BLT	495	558	885	0.000	0.000	0.000	0.000	NA	NA
31	BLT	496	559	1005	0.000	0.000	0.000	0.000	NA	NA
102	BLT	497	560	1071	9.700	0.000	0.000	9.700	NA	NA
115	BLT	504	568	1154	0.000	0.000	0.000	0.000	NA	NA
111	BLT	509	573	1394	4.800	0.000	0.000	4.800	NA	NA
83	BLT	511	576	1293	0.000	0.000	0.000	0.000	NA	NA
52	BLT	514	579	1160	1.000	0.000	0.000	1.000	NA	NA
93	BLT	515	580	1004	3.200	0.000	0.000	3.200	NA	NA
8	BLT	529	596	1097	0.000	0.000	0.000	0.000	NA	NA
60	BLT	529	596	1575	2.800	0.000	0.000	2.800	NA	NA
141	BLT	532	599	1342	0.000	0.000	0.000	0.000	NA	NA
104	BLT	533	600	1129	18.500	0.000	0.000	18.500	NA	NA
118	BLT	537	605	1459	1.300	0.000	0.000	1.300	NA	NA
10	BLT	541	609	1182	0.000	0.000	0.000	0.000	NA	NA
128	BLT	543	611	1239	0.000	0.000	0.000	0.000	NA	NA
114	BLT	545	614	1500	0.000	0.000	0.000	0.000	NA	NA
37	BLT	549	618	1661	67.500	0.000	0.000	67.500	NA	NA
119	BLT	552	622	1564	0.000	0.000	0.000	0.000	NA	NA
106	BLT	552	622	1634	19.600	0.000	0.000	19.600	NA	NA
76	BLT	564	635	1467	1.100	0.000	0.000	1.100	NA	NA
129	BLT	565	636	1842	18.500	0.000	0.000	18.500	NA	NA
105	BLT	581	654	1978	47.000	0.000	0.000	47.000	NA	NA
87	BLT	584	657	2168	0.100	0.100	0.000	0.000	NA	NA
100	BLT	585	658	2042	0.000	0.000	0.000	0.000	NA	NA
62	BLT	591	665	2018	25.300	0.000	0.000	25.300	NA	NA
120	BLT	595	670	1682	70.200	0.000	0.000	70.200	NA	NA
88	BLT	600	675	2325	83.700	0.000	0.000	83.700	NA	NA
13	BLT	602	677	1779	0.000	0.000	0.000	0.000	NA	NA
86	BLT	612	689	2630	0.000	0.000	0.000	0.000	NA	NA
4	BLT	618	695	1559	0.000	0.000	0.000	0.000	NA	NA
107	BLT	620	698	1937	142.000	0.000	0.000	142.000	NA	NA
71	BLT	625	703	1942	0.000	0.000	0.000	0.000	NA	NA
121	BLT	640	720	2033	2.300	0.000	0.000	2.300	NA	NA
80	BLT	647	728	2241	0.000	0.000	0.000	0.000	NA	NA
61	BLT	648	729	2049	0.000	0.000	0.000	0.000	NA	NA
72	BLT	651	732	2156	0.000	0.000	0.000	0.000	NA	NA
433	LKT	NA	166	36	0.250	0.239	0.011	0.000	1	0
373	LKT	NA	167	37	0.000	0.000	0.000	0.000	0	0
361	LKT	NA	170	45	0.200	0.200	0.000	0.000	0	0
222	LKT	NA	172	43	0.500	0.417	0.083	0.000	0	0
360	LKT	NA	175	45	0.100	0.100	0.000	0.000	0	0
467	LKT	NA	177	45	0.400	0.396	0.000	0.000	0	0
358	LKT	NA	178	46	0.000	0.000	0.000	0.000	0	0
224	LKT	NA	180	45	0.300	0.300	0.000	0.000	0	0
252	LKT	NA	184	51	0.100	0.100	0.000	0.000	0	0
356	LKT	NA	185	48	0.250	0.250	0.000	0.000	0	0
167	LKT	NA	188	54	0.100	0.100	0.000	0.000	0	0
324	LKT	NA	190	48	0.100	0.098	0.002	0.000	1	0
229	LKT	NA	190	51	0.200	0.200	0.000	0.000	0	0
354	LKT	NA	191	53	0.200	0.200	0.000	0.000	0	0
357	LKT	NA	193	55	0.000	0.000	0.000	0.000	0	0
170	LKT	NA	195	67	0.200	0.200	0.000	0.000	0	0
168	LKT	NA	197	62	0.100	0.100	0.000	0.000	0	0
353	LKT	NA	206	74	0.000	0.000	0.000	0.000	0	0
225	LKT	NA	207	63	0.000	0.000	0.000	0.000	0	0
166	LKT	NA	209	78	0.200	0.200	0.000	0.000	0	0
171	LKT	NA	211	80	0.400	0.387	0.013	0.000	2	0
374	LKT	NA	212	86	0.200	0.200	0.000	0.000	0	0
372	LKT	NA	214	79	0.400	0.400	0.000	0.000	0	0
169	LKT	NA	217	86	0.100	0.100	0.000	0.000	0	0
173	LKT	NA	219	85	0.000	0.000	0.000	0.000	0	0
355	LKT	NA	219	96	0.250	0.250	0.000	0.000	0	0
172	LKT	NA	220	86	0.000	0.000	0.000	0.000	0	0
247	LKT	NA	222	91	5.200	5.200	0.000	0.000	0	0
359	LKT	NA	223	105	0.500	0.482	0.018	0.000	2	0
194	LKT	NA	225	NA	0.000	0.000	0.000	0.000	0	0
326	LKT	NA	228	77	0.600	0.457	0.143	0.000	3	0
174	LKT	NA	229	100	0.100	0.100	0.000	0.000	0	0
294	LKT	NA	230	102	0.400	0.383	0.017	0.000	4	0
295	LKT	NA	232	96	0.400	0.392	0.008	0.000	3	0
331	LKT	NA	235	92	0.800	0.792	0.008	0.000	1	0
179	LKT	NA	236	126	1.200	1.145	0.041	0.000	6	0
182	LKT	NA	237	132	0.600	0.583	0.000	0.000	0	0
287	LKT	NA	240	114	0.200	0.170	0.030	0.000	5	0
251	LKT	NA	242	120	0.000	0.000	0.000	0.000	0	0
177	LKT	NA	246	124	0.800	0.800	0.000	0.000	0	0
250	LKT	NA	248	118	1.200	1.200	0.000	0.000	0	0
178	LKT	NA	249	142	0.200	0.200	0.000	0.000	0	0
328	LKT	NA	250	139	1.000	0.994	0.006	0.000	2	0
198	LKT	NA	253	NA	0.200	0.193	0.007	0.000	0	1
329	LKT	NA	254	123	0.200	0.179	0.020	0.000	3	0
192	LKT	NA	255	NA	0.200	0.160	0.040	0.000	4	1
330	LKT	NA	255	130	2.800	2.744	0.056	0.000	0	2
436	LKT	NA	261	138	0.100	0.100	0.000	0.000	0	0
464	LKT	NA	261	166	1.350	1.350	0.000	0.000	0	0
392	LKT	NA	263	163	0.000	0.000	0.000	0.000	0	0
187	LKT	NA	265	170	0.750	0.746	0.004	0.000	1	0
342	LKT	NA	265	163	1.200	1.186	0.014	0.000	0	1
435	LKT	NA	267	158	0.450	0.393	0.000	0.000	0	0
197	LKT	NA	269	183	0.000	0.000	0.000	0.000	0	0
323	LKT	NA	270	173	2.200	2.191	0.009	0.000	0	1
183	LKT	NA	271	160	1.400	1.373	0.000	0.000	0	0
321	LKT	NA	275	164	1.100	1.100	0.000	0.000	0	0
293	LKT	NA	279	175	0.400	0.400	0.000	0.000	0	0
200	LKT	NA	279	182	0.450	0.450	0.000	0.000	0	0
290	LKT	NA	282	182	0.100	0.092	0.008	0.000	3	0
352	LKT	NA	284	193	0.400	0.400	0.000	0.000	0	0
320	LKT	NA	287	194	0.000	0.000	0.000	0.000	0	0
189	LKT	NA	289	185	0.400	0.400	0.000	0.000	0	0
195	LKT	NA	289	200	0.900	0.900	0.000	0.000	0	0
327	LKT	NA	290	184	0.600	0.600	0.000	0.000	0	0
176	LKT	NA	291	209	2.200	2.168	0.016	0.000	2	0
285	LKT	NA	294	217	1.500	1.457	0.043	0.000	4	0
181	LKT	NA	296	223	1.000	1.000	0.000	0.000	0	0
325	LKT	NA	298	207	1.100	1.100	0.000	0.000	0	0
292	LKT	NA	305	213	0.500	0.500	0.000	0.000	0	0
286	LKT	NA	306	251	0.200	0.186	0.014	0.000	5	0
191	LKT	NA	306	214	1.200	1.178	0.022	0.000	5	0
180	LKT	NA	306	237	3.000	1.052	0.040	1.908	6	0
322	LKT	NA	310	254	1.100	1.036	0.054	0.000	0	4
288	LKT	NA	313	265	0.000	0.000	0.000	0.000	0	0
188	LKT	NA	315	285	0.200	0.193	0.004	0.000	1	0
283	LKT	NA	315	283	0.600	0.598	0.002	0.000	5	0
291	LKT	NA	315	223	1.000	0.975	0.025	0.000	0	2
175	LKT	NA	315	244	2.000	1.966	0.017	0.000	0	1
190	LKT	NA	316	280	4.500	4.500	0.000	0.000	0	0
246	LKT	NA	321	312	1.000	1.000	0.000	0.000	0	0
289	LKT	NA	324	274	0.800	0.770	0.019	0.000	1	1
186	LKT	NA	327	320	2.000	1.991	0.009	0.000	0	1
196	LKT	NA	330	292	0.000	0.000	0.000	0.000	0	0
185	LKT	NA	331	344	0.500	0.458	0.009	0.000	0	1
284	LKT	NA	334	322	0.600	0.596	0.004	0.000	0	0
245	LKT	NA	334	307	1.100	1.100	0.000	0.000	0	1
315	LKT	NA	336	328	2.500	2.471	0.024	0.000	1	1
249	LKT	NA	339	339	0.100	0.000	0.000	0.100	0	0
319	LKT	NA	341	312	2.200	2.200	0.000	0.000	0	0
193	LKT	NA	342	NA	0.100	0.100	0.000	0.000	5	0
207	LKT	NA	342	377	0.450	0.450	0.000	0.000	0	0
282	LKT	NA	342	312	0.800	0.769	0.031	0.000	0	0
204	LKT	NA	345	355	3.300	3.294	0.006	0.000	1	0
243	LKT	NA	348	307	0.000	0.000	0.000	0.000	0	0
461	LKT	NA	348	307	2.000	0.000	0.000	2.000	0	0
206	LKT	NA	353	365	0.000	0.000	0.000	0.000	2	3
184	LKT	NA	353	380	0.600	0.572	0.028	0.000	0	0
244	LKT	NA	355	336	1.000	0.000	0.000	1.000	0	0
248	LKT	NA	357	397	1.800	1.781	0.019	0.000	0	2
281	LKT	NA	358	344	0.100	0.100	0.000	0.000	0	0
205	LKT	NA	358	420	3.000	3.000	0.000	0.000	0	0
318	LKT	NA	360	416	8.000	7.976	0.005	0.000	1	0
199	LKT	NA	362	360	0.400	0.384	0.016	0.000	3	0
211	LKT	NA	362	436	4.500	4.500	0.000	0.000	0	0
309	LKT	NA	365	360	0.000	0.000	0.000	0.000	0	0
210	LKT	NA	366	438	7.800	7.800	0.000	0.000	0	0
339	LKT	NA	368	394	1.800	1.800	0.000	0.000	0	0
279	LKT	NA	370	431	0.000	0.000	0.000	0.000	0	0
340	LKT	NA	370	395	0.000	0.000	0.000	0.000	0	0
201	LKT	NA	373	417	1.000	1.000	0.000	0.000	0	0
214	LKT	NA	374	445	3.500	3.492	0.008	0.000	1	0
338	LKT	NA	376	463	1.200	1.115	0.085	0.000	3	3
215	LKT	NA	381	515	2.000	1.982	0.018	0.000	0	1
278	LKT	NA	383	527	3.500	3.386	0.071	0.000	4	1
203	LKT	NA	384	464	0.000	0.000	0.000	0.000	0	0
212	LKT	NA	385	459	6.200	6.200	0.000	0.000	0	0
164	LKT	NA	385	529	6.500	1.908	0.000	4.592	0	0
312	LKT	NA	391	472	0.000	0.000	0.000	0.000	12	0
341	LKT	NA	391	480	7.300	6.437	0.863	0.000	0	0
159	LKT	NA	393	582	0.000	0.000	0.000	0.000	0	0
213	LKT	NA	396	512	5.000	5.000	0.000	0.000	0	0
349	LKT	NA	405	536	1.000	0.986	0.014	0.000	1	0
208	LKT	NA	405	565	2.000	2.000	0.000	0.000	0	0
336	LKT	NA	407	462	0.000	0.000	0.000	0.000	0	0
202	LKT	NA	407	616	2.800	2.800	0.000	0.000	0	0
162	LKT	NA	407	612	5.200	5.200	0.000	0.000	0	0
234	LKT	NA	408	500	2.000	0.000	0.030	1.970	1	1
280	LKT	NA	409	548	0.000	0.000	0.000	0.000	0	0
165	LKT	NA	410	677	0.200	0.138	0.010	0.052	1	1
307	LKT	NA	414	620	16.000	15.893	0.016	0.000	0	1
209	LKT	NA	415	571	7.200	7.190	0.010	0.000	1	0
216	LKT	NA	416	621	4.000	4.000	0.000	0.000	0	0
347	LKT	NA	420	588	0.100	0.100	0.000	0.000	0	0
350	LKT	NA	420	585	1.200	1.174	0.026	0.000	0	1
316	LKT	NA	423	586	3.450	3.369	0.000	0.000	0	0
220	LKT	NA	425	534	4.000	4.000	0.000	0.000	0	3
160	LKT	NA	425	692	10.000	9.718	0.139	0.000	0	0
221	LKT	NA	431	587	4.000	4.000	0.000	0.000	1	0
317	LKT	NA	431	695	17.000	16.947	0.005	0.000	0	0
223	LKT	NA	433	545	0.800	0.005	0.390	0.000	1	0
313	LKT	NA	438	676	4.400	4.400	0.000	0.000	0	0
230	LKT	NA	440	610	1.400	1.400	0.000	0.000	2	0
311	LKT	NA	440	795	7.000	6.941	0.059	0.000	0	0
310	LKT	NA	440	690	11.500	11.463	0.024	0.000	0	4
277	LKT	NA	442	694	7.500	0.000	0.012	7.488	1	0
217	LKT	NA	444	669	0.000	0.000	0.000	0.000	0	0
157	LKT	NA	450	848	0.600	0.586	0.014	0.000	0	1
465	LKT	NA	454	703	7.500	7.500	0.000	0.000	0	0
228	LKT	NA	455	665	5.000	5.000	0.000	0.000	0	0
345	LKT	NA	455	806	6.200	6.180	0.020	0.000	0	1
265	LKT	NA	456	722	8.200	5.869	0.204	0.000	0	2
158	LKT	NA	460	851	15.000	14.964	0.036	0.000	3	0
305	LKT	NA	462	900	1.000	0.000	0.000	1.000	0	0
337	LKT	NA	463	708	0.600	0.550	0.050	0.000	15	0
304	LKT	NA	464	836	6.000	0.000	0.000	6.000	0	0
156	LKT	NA	467	870	16.800	16.773	0.000	0.000	0	0
351	LKT	NA	470	979	18.000	17.958	0.042	0.000	0	1
362	LKT	NA	470	945	55.000	0.000	0.000	55.000	0	0
444	LKT	NA	474	827	0.000	0.000	0.000	0.000	0	0
366	LKT	NA	475	896	0.100	0.100	0.000	0.000	1	0
227	LKT	NA	475	785	0.600	0.487	0.018	0.096	0	0
152	LKT	NA	476	856	4.600	0.000	0.000	4.600	0	0
386	LKT	NA	481	877	0.200	0.200	0.000	0.000	0	0
308	LKT	NA	484	1180	0.000	0.000	0.000	0.000	0	0
344	LKT	NA	485	838	25.000	0.000	0.000	25.000	0	0
371	LKT	NA	487	1039	0.000	0.000	0.000	0.000	0	0
469	LKT	NA	487	1039	0.000	0.000	0.000	0.000	0	0
226	LKT	NA	489	908	3.250	1.144	0.000	0.000	0	0
346	LKT	NA	490	945	35.000	0.000	0.000	35.000	0	0
314	LKT	NA	493	900	2.000	1.950	0.050	0.000	8	0
369	LKT	NA	493	902	7.500	0.000	0.000	7.500	0	0
149	LKT	NA	495	1000	8.000	8.000	0.000	0.000	0	0
377	LKT	NA	496	901	0.500	0.000	0.000	0.500	0	0
163	LKT	NA	499	902	1.500	0.000	0.000	1.500	0	0
363	LKT	NA	501	3575	20.000	0.000	0.000	20.000	0	0
404	LKT	NA	501	1125	30.000	0.000	0.000	30.000	0	0
219	LKT	NA	503	906	4.500	2.771	0.043	1.686	3	0
148	LKT	NA	507	1087	5.000	0.000	0.037	4.963	5	0
403	LKT	NA	508	1136	1.500	0.000	0.029	1.471	5	0
370	LKT	NA	509	1273	0.000	0.000	0.000	0.000	0	0
306	LKT	NA	512	1041	0.100	0.100	0.000	0.000	0	0
440	LKT	NA	514	1316	15.000	0.000	0.000	15.000	0	0
390	LKT	NA	514	1207	54.000	0.000	0.000	54.000	0	0
154	LKT	NA	515	1314	0.000	0.000	0.000	0.000	0	0
389	LKT	NA	517	2153	5.000	0.000	0.000	5.000	0	0
367	LKT	NA	520	1151	0.000	0.000	0.000	0.000	0	0
155	LKT	NA	520	1280	45.000	0.000	0.000	45.000	0	0
153	LKT	NA	524	1155	2.200	0.000	0.000	2.200	0	0
348	LKT	NA	527	1079	2.000	0.000	0.011	1.989	1	0
402	LKT	NA	528	1320	1.000	0.000	0.000	1.000	0	0
405	LKT	NA	531	1323	6.000	0.000	0.000	6.000	0	0
455	LKT	NA	532	1449	53.000	0.000	0.000	53.000	0	0
401	LKT	NA	534	1316	14.500	0.000	0.000	14.500	0	0
365	LKT	NA	535	1272	0.000	0.000	0.000	0.000	0	0
147	LKT	NA	536	1145	39.600	0.000	0.561	38.479	1	0
375	LKT	NA	538	1209	0.000	0.000	0.000	0.000	0	0
427	LKT	NA	541	1443	0.000	0.000	0.000	0.000	0	0
275	LKT	NA	542	1377	11.000	0.000	0.009	10.991	1	0
454	LKT	NA	544	1523	1.600	0.009	0.037	1.555	7	0
437	LKT	NA	545	1216	13.000	0.000	0.000	13.000	0	0
438	LKT	NA	546	1373	0.000	0.000	0.000	0.000	0	0
457	LKT	NA	546	1683	42.000	0.000	0.000	42.000	0	0
263	LKT	NA	550	1345	4.500	0.000	0.000	4.500	1	0
236	LKT	NA	550	1858	10.000	0.000	0.020	9.980	0	0
453	LKT	NA	551	1554	0.000	0.000	0.000	0.000	0	0
240	LKT	NA	556	1625	75.000	0.000	0.000	75.000	0	0
445	LKT	NA	556	1468	93.000	0.000	0.000	93.000	0	0
452	LKT	NA	557	1667	9.000	0.000	0.000	9.000	0	0
235	LKT	NA	560	1780	40.000	0.000	0.000	40.000	0	0
432	LKT	NA	562	1690	77.000	0.000	0.000	77.000	0	0
233	LKT	NA	563	1560	0.000	0.000	0.000	0.000	0	0
443	LKT	NA	563	1448	0.000	0.000	0.000	0.000	0	0
458	LKT	NA	568	1771	0.000	0.000	0.000	0.000	0	0
431	LKT	NA	571	1965	90.000	0.000	0.000	90.000	0	0
151	LKT	NA	572	1658	120.000	118.650	0.415	0.000	0	1
418	LKT	NA	573	1673	20.000	0.000	0.000	20.000	0	0
424	LKT	NA	580	1891	0.000	0.000	0.000	0.000	0	0
264	LKT	NA	580	NA	1.000	0.000	0.000	1.000	0	0
419	LKT	NA	582	1647	30.000	0.000	0.000	30.000	0	0
430	LKT	NA	588	1929	0.000	0.000	0.000	0.000	0	0
417	LKT	NA	592	1957	1.200	0.000	0.000	1.200	0	0
276	LKT	NA	593	2036	9.000	0.000	0.000	9.000	0	0
388	LKT	NA	594	1985	0.000	0.000	0.000	0.000	0	0
384	LKT	NA	596	2021	52.000	0.000	0.000	52.000	0	0
232	LKT	NA	600	2250	97.000	0.000	0.012	96.988	1	0
451	LKT	NA	601	2089	0.000	0.000	0.000	0.000	0	0
383	LKT	NA	603	2170	0.000	0.000	0.000	0.000	0	0
266	LKT	NA	607	2535	0.400	0.096	0.304	0.000	4	0
397	LKT	NA	607	2339	60.000	0.000	0.000	60.000	0	0
409	LKT	NA	610	2260	20.000	0.000	0.000	20.000	0	0
298	LKT	NA	615	3487	0.000	0.000	0.000	0.000	0	0
335	LKT	NA	615	2182	0.000	0.000	0.000	0.000	0	0
385	LKT	NA	615	1935	0.000	0.000	0.000	0.000	0	0
447	LKT	NA	620	2413	6.500	0.000	0.000	6.500	0	0
238	LKT	NA	620	2262	70.000	0.000	0.000	70.000	0	0
446	LKT	NA	624	2223	0.000	0.000	0.000	0.000	0	0
439	LKT	NA	638	2748	3.200	0.000	0.000	3.200	0	0
257	LKT	NA	641	2676	80.000	76.665	3.335	0.000	1	0
450	LKT	NA	644	2625	2.000	0.000	0.000	2.000	1	0
274	LKT	NA	644	2797	6.200	0.000	0.024	6.176	0	0
297	LKT	NA	645	2693	5.500	0.000	0.000	5.500	0	0
426	LKT	NA	645	2875	125.000	0.000	0.000	125.000	0	0
239	LKT	NA	646	2543	0.000	0.000	0.000	0.000	0	0
237	LKT	NA	646	2925	35.000	0.000	0.000	35.000	0	0
399	LKT	NA	650	2810	1.000	0.000	0.000	1.000	0	0
218	LKT	NA	655	2920	0.000	0.000	0.000	0.000	0	0
387	LKT	NA	655	3043	0.000	0.000	0.000	0.000	0	0
428	LKT	NA	655	2695	140.000	0.000	0.000	140.000	0	0
334	LKT	NA	659	2644	0.000	0.000	0.000	0.000	0	0
391	LKT	NA	660	2968	0.000	0.000	0.000	0.000	0	0
255	LKT	NA	661	3105	121.000	0.000	0.000	121.000	0	0
364	LKT	NA	662	2587	0.000	0.000	0.000	0.000	0	0
442	LKT	NA	664	3034	0.000	0.000	0.000	0.000	0	0
273	LKT	NA	665	2992	0.000	0.000	0.000	0.000	1	0
368	LKT	NA	665	3402	0.000	0.000	0.000	0.000	0	0
303	LKT	NA	670	3759	0.000	0.000	0.000	0.000	0	0
456	LKT	NA	670	NA	1.000	0.000	0.000	1.000	0	0
422	LKT	NA	673	3030	0.000	0.000	0.000	0.000	6	0
332	LKT	NA	673	3006	0.700	0.000	0.041	0.659	0	0
423	LKT	NA	675	3428	90.000	0.000	0.000	90.000	0	0
272	LKT	NA	677	4111	1.000	0.000	0.000	1.000	0	0
415	LKT	NA	680	3160	0.000	0.000	0.000	0.000	0	0
459	LKT	NA	680	3311	1.500	0.000	0.000	1.500	0	0
398	LKT	NA	682	3318	0.000	0.000	0.000	0.000	0	0
241	LKT	NA	686	3343	0.000	0.000	0.000	0.000	1	0
380	LKT	NA	686	4920	145.000	0.000	0.000	145.000	0	0
382	LKT	NA	688	3160	20.000	0.000	0.000	20.000	0	0
150	LKT	NA	691	3667	33.000	0.000	0.000	33.000	0	0
462	LKT	NA	692	5834	90.000	0.000	0.000	90.000	0	0
