fishID,tl,scale1,scale2,scaleC,finray1,finray2,finrayC,otolith1,otolith2,otolithC
68,568,4,10,7,7,8,7,17,18,18
70,468,7,8,8,5,5,5,7,7,7
71,462,8,7,8,6,6,6,10,8,9
72,424,4,4,4,4,4,4,5,5,5
73,477,5,8,8,7,5,6,10,10,10
74,527,7,7,7,7,7,7,12,12,12
75,462,6,5,5,5,6,6,8,7,7
76,472,8,8,8,7,7,7,10,9,10
77,491,6,6,6,4,6,5,10,8,9
78,487,7,7,7,6,7,7,10,11,11
79,163,1,1,1,1,1,1,1,1,1
80,201,1,1,1,2,2,2,3,3,3
81,542,14,12,13,9,9,9,12,14,14
82,481,6,6,6,6,6,6,8,8,8
83,533,5,7,6,7,8,7,11,12,12
84,532,10,7,9,7,6,7,11,11,11
85,527,7,7,7,7,6,7,10,9,9
86,518,7,7,7,6,6,6,9,8,8
87,426,9,7,8,4,4,4,5,6,5
88,470,8,5,7,6,6,6,8,8,8
89,564,13,13,13,9,10,9,18,18,18
90,548,9,10,10,8,8,8,12,12,12
91,518,8,8,8,5,6,5,10,11,11
92,504,8,7,8,6,6,6,9,9,9
93,550,8,8,8,6,9,8,12,11,11
94,553,10,8,9,6,8,7,14,13,13
95,521,7,7,7,5,6,6,9,10,9
96,503,7,7,7,6,7,7,8,10,10
97,374,4,3,4,3,3,3,4,4,4
98,399,4,4,4,4,4,4,6,6,6
99,370,3,3,3,3,3,3,4,4,4
100,369,3,3,3,2,3,3,4,4,4
101,441,6,5,6,5,6,6,6,7,6
102,483,5,8,7,7,7,7,11,11,11
103,438,6,5,6,6,6,6,8,8,8
104,464,5,5,5,5,5,5,8,8,8
105,467,6,5,6,5,4,5,5,5,5
106,429,6,4,5,4,4,4,6,6,6
107,430,4,4,4,4,4,4,6,5,6
108,503,6,7,7,7,7,7,8,9,9
109,564,10,10,10,10,11,10,13,13,13
110,514,7,6,7,7,8,8,9,9,9
111,517,7,6,7,6,7,7,12,12,12
112,408,5,4,5,5,4,5,4,5,5
113,388,4,4,4,4,4,4,4,4,4
114,449,6,7,7,4,6,5,7,7,7
115,445,4,4,4,4,4,4,4,4,4
116,426,4,4,4,4,4,4,4,5,4
117,521,6,7,7,6,8,7,9,11,10
118,437,5,7,6,6,6,6,7,7,7
119,418,5,4,5,4,4,4,5,5,5
120,575,8,10,9,9,10,10,16,17,17
121,463,6,6,6,5,6,6,9,7,7
122,520,8,8,8,8,8,8,10,10,10
123,544,8,7,8,8,9,9,11,11,11
124,490,7,9,8,6,8,7,12,12,12
125,437,4,5,5,4,4,4,5,4,4
126,478,7,7,7,7,7,7,8,8,8
128,541,8,10,9,7,7,7,12,13,12
135,579,7,14,11,8,9,9,16,17,17
136,581,13,13,13,11,11,11,12,13,13
139,586,13,13,13,11,10,11,16,15,16
144,594,8,13,11,13,9,11,17,17,17
145,553,12,11,12,11,12,12,15,15,15
153,390,4,5,5,3,3,3,4,4,4
155,604,10,11,11,8,9,9,13,13,13
162,585,11,10,10,12,10,11,16,15,16
163,563,11,9,10,6,7,7,7,7,7
165,464,5,5,5,5,4,5,6,6,6
171,588,12,12,12,9,11,10,16,16,16
172,658,11,11,11,13,11,12,15,15,15
174,594,15,12,14,9,10,10,16,15,15
178,513,6,6,6,5,6,6,8,8,8
184,491,7,6,7,6,6,6,10,10,10
190,497,9,6,8,5,5,5,8,8,8
193,598,14,14,14,9,10,10,19,18,19
195,524,8,8,8,9,10,10,9,9,9
196,528,13,11,12,9,8,9,12,12,12
199,508,6,5,6,6,6,6,8,8,8
203,516,9,8,9,7,8,8,14,15,15
204,528,7,6,7,5,5,5,9,9,9
205,526,15,11,13,11,11,11,17,17,17
206,650,6,13,10,11,9,9,23,23,23
214,599,14,16,15,14,14,14,16,16,16
216,636,8,10,9,10,8,10,15,15,15
218,551,5,7,6,6,9,8,13,13,13
